scheduler,task,node_id,node_type,node_role,start_min,finish_min,runtime_min,energy_kwh,carbon_g,memory_required_gb,node_memory_gb
baseline,RawQC,Atlantis_1,Atlantis,compute-oriented,0.0,0.8796296296296295,0.8796296296296295,0.0018816743827160492,0.5003748518518518,2,128
baseline,Trim,Atlantis_1,Atlantis,compute-oriented,0.8796296296296295,3.5555555555555554,2.6759259259259256,0.005812200308641975,1.545580306074074,3,128
baseline,Align_4,Atlantis_1,Atlantis,compute-oriented,3.5555555555555554,11.82777777777778,8.272222222222224,0.01883240324074074,5.007912669777778,32,128
baseline,Align_3,Atlantis_2,Atlantis,compute-oriented,3.5555555555555554,11.131027777777778,7.575472222222222,0.01724619380324074,4.586107856157779,32,128
baseline,Align_2,Camelot_1,Camelot,memory-rich,3.5555555555555554,11.115743055555553,7.560187499999998,0.016941750171874992,4.505150205704998,32,256
baseline,Align_1,Camelot_2,Camelot,memory-rich,3.5555555555555554,10.32638888888889,6.770833333333333,0.015172873263888886,4.034770458333333,32,256
baseline,Filter_4,Atlantis_1,Atlantis,compute-oriented,11.82777777777778,22.21277777777778,10.385,0.019787752083333335,5.261959034000001,6,128
baseline,Filter_3,Atlantis_2,Atlantis,compute-oriented,11.131027777777778,20.24129166666667,9.11026388888889,0.017358848651620375,4.616065033438891,6,128
baseline,Filter_2,Camelot_1,Camelot,memory-rich,11.115743055555553,19.564774305555552,8.44903125,0.016535458242187502,4.397109055762501,6,256
baseline,Filter_1,Camelot_2,Camelot,memory-rich,10.32638888888889,17.173581597222224,6.847192708333334,0.013400526729600695,3.563468067935417,6,256
baseline,Merge,Atlantis_1,Atlantis,compute-oriented,22.21277777777778,22.24055555555556,0.02777777777777778,6.394675925925927e-05,0.017004722222222223,1,128
baseline,MarkDuplicates,Atlantis_1,Atlantis,compute-oriented,22.24055555555556,28.286851851851857,6.046296296296297,0.010175916666666668,2.7059797600000004,20,128
baseline,PeakCalling,Atlantis_1,Atlantis,compute-oriented,28.286851851851857,31.351666666666674,3.064814814814815,0.007146637345679012,1.900433802962963,2,128
baseline,Annotation,Atlantis_1,Atlantis,compute-oriented,31.351666666666674,35.12481481481482,3.773148148148148,0.010423321759259259,2.7717697222222224,5,128
baseline,Report,Atlantis_1,Atlantis,compute-oriented,35.12481481481482,72.22286574074073,37.09805092592592,0.08259327144147054,21.87830009855025,7,128
